#string_protein_id	preferred_name	protein_size	annotation
10090.ENSMUSP00000000001	Gnai3	354	Guanine nucleotide-binding protein G(i) subunit alpha; Heterotrimeric guanine nucleotide-binding proteins (G proteins) function as transducers downstream of G protein-coupled receptors (GPCRs) in numerous signaling cascades. The alpha chain contains the guanine nucleotide binding site and alternates between an active, GTP-bound state and an inactive, GDP-bound state. Signaling by an activated GPCR promotes GDP release and GTP binding. The alpha subunit has a low GTPase activity that converts bound GTP to GDP, thereby terminating the signal. Both GDP release and GTP hydrolysis are modul [...] 
10090.ENSMUSP00000000003	Pbsn	174	Probasin.
10090.ENSMUSP00000000010	Hoxb9	250	Homeobox protein Hox-B9; Sequence-specific transcription factor which is part of a developmental regulatory system that provides cells with specific positional identities on the anterior-posterior axis; Belongs to the Abd-B homeobox family.
10090.ENSMUSP00000000028	Cdc45	566	Cell division control protein 45 homolog; Required for initiation of chromosomal DNA replication; Belongs to the CDC45 family.
10090.ENSMUSP00000000049	Apoh	345	Beta-2-glycoprotein 1; Binds to various kinds of negatively charged substances such as heparin, phospholipids, and dextran sulfate. May prevent activation of the intrinsic blood coagulation cascade by binding to phospholipids on the surface of damaged cells.
10090.ENSMUSP00000000058	Cav2	162	Caveolin-2; May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity. Acts as an accessory protein in conjunction with CAV1 in targeting to lipid rafts and driving caveolae formation. The Ser-36 phosphorylated form has a role in modulating mitosis in endothelial cells. Positive regulator of cellular mitogenesis of the MAPK signaling pathway. Required for the insulin-stimulated nuclear translocation and activation of MAPK1 and STAT3, and the subsequent regulation of cell cycle progression (B [...] 
10090.ENSMUSP00000000080	Klf6	318	Krueppel-like factor 6; Transcriptional activator. Binds a GC box motif. Could play a role in B-cell growth and development (By similarity); Belongs to the krueppel C2H2-type zinc-finger protein family.
10090.ENSMUSP00000000090	Cox5a	146	Cytochrome c oxidase subunit 5A, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] 
10090.ENSMUSP00000000095	Tbx2	711	T-box transcription factor TBX2; Involved in the transcriptional regulation of genes required for mesoderm differentiation. Probably plays a role in limb pattern formation. Acts as a negative regulator of PML function in cellular senescence. May be required for cardiac atrioventricular canal formation (By similarity).
10090.ENSMUSP00000000122	Ngfr	427	Tumor necrosis factor receptor superfamily member 16; Low affinity neurotrophin receptor which can bind to mature NGF, BDNF, NTF3, and NTF4. Forms a heterodimeric receptor with SORCS2 that binds the precursor forms of NGF (proNGF), BDNF (proBDNF) and NTF3 (proNT3) with high affinity, and has much lower affinity for mature NGF and BDNF. Plays an important role in differentiation and survival of specific neuronal populations during development. Can mediate cell survival as well as cell death of neural cells. The heterodimeric receptor formed with SORCS2 plays a role in proBDNF-dependent  [...] 
10090.ENSMUSP00000000127	Wnt3	355	Proto-oncogene Wnt-3; Ligand for members of the frizzled family of seven transmembrane receptors (Probable). Functions in the canonical Wnt signaling pathway that results in activation of transcription factors of the TCF/LEF family (By similarity). Required for normal gastrulation, formation of the primitive streak, and for the formation of the mesoderm during early embryogenesis. Required for normal formation of the apical ectodermal ridge and for normal embryonic limb development.
10090.ENSMUSP00000000129	Fer	823	Tyrosine-protein kinase Fer; Tyrosine-protein kinase that acts downstream of cell surface receptors for growth factors and plays a role in the regulation of the actin cytoskeleton, microtubule assembly, lamellipodia formation, cell adhesion, cell migration and chemotaxis. Acts downstream of EGFR, KIT, PDGFRA and PDGFRB. Acts downstream of EGFR to promote activation of NF- kappa-B and cell proliferation. May play a role in the regulation of the mitotic cell cycle. Plays a role in the insulin receptor signaling pathway and in activation of phosphatidylinositol 3-kinase. Acts downstream o [...] 
10090.ENSMUSP00000000137	Actr2	394	Actin-related protein 2; ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. Seems to contact the pointed end of the daughter actin filament. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promote [...] 
10090.ENSMUSP00000000153	Gna12	379	Guanine nucleotide-binding protein subunit alpha-12; Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. Activates effector molecule RhoA by binding and activating RhoGEFs (ARHGEF12/LARG) (By similarity). GNA12-dependent Rho signaling subsequently regulates transcription factor AP-1 (activating protein-1). GNA12-dependent Rho signaling also regulates protein phosphatese 2A activation causing dephosphorylation of its target proteins (By similarity). Promotes tumor cell invasion and metastasis by activatin [...] 
10090.ENSMUSP00000000161	Itgb2l	738	Integrin beta-2-like protein; During inflammatory stimulation, plays a role in retaining Cxcl13-expressing cells at the site of the inflammatory response.
10090.ENSMUSP00000000171	Pih1d2	315	PIH1 domain-containing protein 2.
10090.ENSMUSP00000000175	Sdhd	159	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial; Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q); Belongs to the CybS family.
10090.ENSMUSP00000000186	Fgf23	251	Fibroblast growth factor 23; Regulator of phosphate homeostasis (By similarity). Inhibits renal tubular phosphate transport by reducing SLC34A1 levels (By similarity). Acts directly on the parathyroid to decrease PTH secretion (By similarity). Regulator of vitamin-D metabolism (By similarity). Negatively regulates osteoblasts differentiation and matrix mineralization (By similarity). Upregulates EGR1 expression in the presence of KL; Belongs to the heparin-binding growth factors family.
10090.ENSMUSP00000000187	Fgf6	208	Fibroblast growth factor 6; Plays an important role in the regulation of cell proliferation, cell differentiation, angiogenesis and myogenesis, and is required for normal muscle regeneration; Belongs to the heparin-binding growth factors family.
10090.ENSMUSP00000000188	Ccnd2	289	G1/S-specific cyclin-D2; Regulatory component of the cyclin D2-CDK4 (DC) complex that phosphorylates and inhibits members of the retinoblastoma (RB) protein family including RB1 and regulates the cell-cycle during G(1)/S transition. Phosphorylation of RB1 allows dissociation of the transcription factor E2F from the RB/E2F complex and the subsequent transcription of E2F target genes which are responsible for the progression through the G(1) phase. Hypophosphorylates RB1 in early G(1) phase. Cyclin D-CDK4 complexes are major integrators of various mitogenenic and antimitogenic signals. A [...] 
10090.ENSMUSP00000000193	Ccl2	148	C-C motif chemokine 2; Acts as a ligand for C-C chemokine receptor CCR2 (By similarity). Signals through binding and activation of CCR2 and induces a strong chemotactic response and mobilization of intracellular calcium ions (By similarity). Exhibits a chemotactic activity for monocytes and basophils but not neutrophils or eosinophils (By similarity). Plays an important role in mediating peripheral nerve injury-induced neuropathic pain. Increases NMDA-mediated synaptic transmission in both dopamine D1 and D2 receptor-containing neurons, which may be caused by MAPK/ERK-dependent phospho [...] 
10090.ENSMUSP00000000194	Ccl12	104	C-C motif chemokine 12; Chemotactic factor that attracts eosinophils, monocytes, and lymphocytes but not neutrophils. Potent monocyte active chemokine that signals through CCR2. Involved in allergic inflammation and the host response to pathogens and may play a pivotal role during early stages of allergic lung inflammation; Belongs to the intercrine beta (chemokine CC) family.
10090.ENSMUSP00000000199	Ncs1	190	Neuronal calcium sensor 1; Neuronal calcium sensor, regulator of G protein-coupled receptor phosphorylation in a calcium dependent manner. Directly regulates GRK1 (RHOK), but not GRK2 to GRK5. Can substitute for calmodulin (By similarity). Stimulates PI4KB kinase activity (By similarity). Involved in long-term synaptic plasticity through its interaction with PICK1 (By similarity). May also play a role in neuron differentiation through inhibition of the activity of N-type voltage- gated calcium channel (By similarity); Belongs to the recoverin family.
10090.ENSMUSP00000000201	Nalcn	1739	Sodium leak channel non-selective protein; Voltage-independent, cation-nonselective channel which is permeable to sodium, potassium and calcium ions. Regulates the resting membrane potential and controls neuronal excitability. Neuropeptides such as neurotensin and substance P (SP) stimulate the firing of action potentials by activating NALCN through a SRC family kinases-dependent pathway. In addition to its baseline activity, NALCN activity is enhanced/modulated by several GPCRs. Required for normal respiratory rhythm and neonatal survival. Involved in systemic osmoregulation by contro [...] 
